WARNING 2025-08-17 22:27:54,038 basehttp 8 140488215606976 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:27:54,039 basehttp 8 140488241833664 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:27:54,043 basehttp 8 140488233440960 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:27:54,077 log 8 140488241833664 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-08-17 22:27:54,078 log 8 140488215606976 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-08-17 22:27:54,079 log 8 140488198821568 Not Found: /static/admin/css/login.css
WARNING 2025-08-17 22:27:54,080 basehttp 8 140488241833664 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2025-08-17 22:27:54,080 basehttp 8 140488215606976 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:27:54,081 basehttp 8 140488198821568 "GET /static/admin/css/login.css HTTP/1.1" 404 179
INFO 2025-08-17 22:27:57,000 basehttp 8 140487683983040 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-08-17 22:27:57,013 basehttp 8 140487683983040 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4177
WARNING 2025-08-17 22:27:57,047 log 8 140487683983040 Not Found: /static/admin/css/base.css
WARNING 2025-08-17 22:27:57,049 log 8 140488198821568 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-08-17 22:27:57,052 log 8 140488223999680 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-08-17 22:27:57,056 log 8 140488207214272 Not Found: /static/admin/css/login.css
WARNING 2025-08-17 22:27:57,060 log 8 140488241833664 Not Found: /static/admin/css/responsive.css
WARNING 2025-08-17 22:27:57,061 basehttp 8 140487683983040 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:27:57,062 basehttp 8 140488198821568 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:27:57,063 log 8 140488233440960 Not Found: /static/admin/js/theme.js
WARNING 2025-08-17 22:27:57,064 basehttp 8 140488223999680 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:27:57,065 basehttp 8 140488207214272 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:27:57,067 basehttp 8 140488241833664 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
